Country,2016,2017,2018,2019,2020,2021,2022,2023
PHILIPPINES,"22,72,39,323","20,76,96,511","21,30,24,576","22,18,43,181","13,12,67,928","14,92,47,225","17,10,91,002","24,14,57,366"
POLAND,"30,47,71,282","31,01,46,544","30,93,32,131","28,93,99,365","21,71,71,684","24,17,63,363","30,25,06,710","30,45,87,086"
PORTUGAL,"7,93,14,369","7,68,45,617","8,05,24,617","8,09,65,594","6,23,24,725","6,33,17,257","8,00,50,082","8,50,61,223"
PUERTO RICO,"2,60,60,881","2,45,44,473","2,36,37,141","2,35,04,812","2,14,59,056","2,18,17,443","2,31,22,029","2,29,28,149"
ROMANIA,"20,44,28,918","20,01,89,419","20,53,89,916","20,94,31,041","20,19,22,021","20,40,62,546","21,72,65,828","21,70,82,073"
RUSSIA,"82,26,77,212","89,17,66,982","87,11,68,969","83,28,23,175","1,05,82,11,457","87,56,13,748","78,92,23,770","83,44,16,989"
SAUDI ARABIA,"34,27,80,377","33,52,11,804","26,85,13,625","28,02,50,362","24,83,24,009","25,31,00,998","33,42,05,892","37,05,09,975"
SERBIA,"6,91,26,121","6,99,99,372","7,40,50,954","7,28,99,470","7,94,11,030","8,89,12,097","8,75,65,667","8,46,42,907"
SLOVAKIA,"4,56,45,198","4,59,54,976","4,60,70,397","4,40,40,843","3,23,96,384","3,49,89,779","4,85,75,158","4,61,96,330"
SLOVENIA,"1,08,67,266","1,09,52,927","1,11,12,505","1,09,56,359","84,61,047","84,33,463","1,04,92,873","1,12,64,380"
SOUTH AFRICA,"26,70,12,827","27,21,34,069","27,23,01,469","25,67,80,224","22,43,87,379","26,15,84,456","28,20,57,696","26,85,01,501"
SOUTH  KOREA,"48,47,75,028","48,37,62,451","50,35,59,912","51,77,55,155","41,20,96,089","39,02,85,815","51,05,02,855","63,43,71,001"
SPAIN,"51,36,63,960","49,93,00,354","52,72,00,118","51,37,85,029","40,64,75,238","41,32,23,015","48,38,46,557","51,33,46,264"
SWEDEN,"4,51,69,063","4,46,63,438","4,36,28,494","4,28,73,368","3,76,40,611","3,59,46,009","3,89,73,769","4,34,24,666"
SWITZERLAND,"3,47,01,296","3,38,27,958","3,44,29,932","3,41,21,894","2,85,72,770","2,73,16,085","3,38,34,621","3,68,15,459"
TAIWAN,"16,15,98,275","14,63,96,965","13,84,65,489","13,50,83,274","12,63,97,389","10,14,07,665","11,44,24,171","13,38,00,475"
THAILAND,"32,72,35,242","37,68,14,576","59,33,46,749","61,82,54,670","55,34,38,876","53,38,67,095","66,66,64,764","74,14,63,286"
TUNISIA,"14,44,85,010","15,16,31,318","15,30,97,674","15,47,68,040","13,77,37,090","13,85,55,120","16,85,99,064","17,02,76,558"
TÜRKIYE,"1,22,71,82,028","1,10,41,80,931","1,09,69,27,179","1,12,26,67,245","86,91,32,220","96,96,60,459","1,23,38,62,587","1,42,98,98,104"
UNITED ARAB EMIRATES,"9,55,15,099","9,57,75,101","9,62,05,769","9,08,27,759","7,78,04,380","7,39,46,958","9,58,39,725","10,90,87,735"
UNITED KINGDOM,"48,84,42,845","46,68,83,286","44,78,61,498","44,97,53,117","40,67,10,606","40,64,34,685","44,87,86,032","47,03,75,747"
UNITED STATES,"2,86,44,49,624","2,92,69,95,678","2,79,95,06,269","2,81,60,26,608","2,34,53,86,066","2,47,70,93,023","2,66,72,57,360","2,78,31,38,735"
URUGUAY,"1,95,60,760","2,01,28,600","1,86,25,576","1,98,80,672","1,44,11,955","1,53,44,247","2,12,42,943","2,14,19,067"
VIETNAM,"86,90,65,711","1,69,89,20,143","1,91,24,95,334","1,80,23,70,350","1,55,33,44,369","1,79,32,95,799","1,90,42,42,465","1,94,84,15,458"
WEST AFRICA,"36,28,35,096","36,84,12,349","41,58,61,386","39,10,76,623","41,58,89,994","49,31,78,969","49,84,59,285","73,00,77,515"
